"Average temperatures for selected cities in Europe 
°C (°F)
",,,,,,,,,,,,,,,
Country,City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,Ref.
Austria,Vienna,"0.3
(32.5)","1.5
(34.7)","5.7
(42.3)","10.7
(51.3)","15.7
(60.3)","18.7
(65.7)","20.8
(69.4)","20.2
(68.4)","15.4
(59.7)","10.2
(50.4)","5.1
(41.2)","1.1
(34.0)","10.4
(50.7)",[1]
Belgium,Brussels,"3.3
(37.9)","3.7
(38.7)","6.8
(44.2)","9.8
(49.6)","13.6
(56.5)","16.2
(61.2)","18.4
(65.1)","18.0
(64.4)","14.9
(58.8)","11.1
(52.0)","6.8
(44.2)","3.9
(39.0)","10.5
(50.9)",[2]
Bulgaria,Sofia,"−0.5
(31.1)","1.1
(34.0)","5.4
(41.7)","10.6
(51.1)","15.4
(59.7)","18.9
(66.0)","21.2
(70.2)","21.0
(69.8)","16.5
(61.7)","11.3
(52.3)","5.1
(41.2)","0.7
(33.3)","10.6
(51.1)",[3]
Croatia,Zagreb,"0.3
(32.5)","2.3
(36.1)","6.4
(43.5)","10.7
(51.3)","15.8
(60.4)","18.8
(65.8)","20.6
(69.1)","20.1
(68.2)","15.9
(60.6)","10.5
(50.9)","5.0
(41.0)","1.4
(34.5)","10.7
(51.3)",[4]
Czech Republic,Prague,"−1.4
(29.5)","−0.4
(31.3)","3.6
(38.5)","8.4
(47.1)","13.4
(56.1)","16.1
(61.0)","18.2
(64.8)","17.8
(64.0)","13.5
(56.3)","8.5
(47.3)","3.1
(37.6)","−0.3
(31.5)","8.4
(47.1)",[5]
Denmark,Copenhagen,"0.6
(33.1)","0.5
(32.9)","2.5
(36.5)","6.1
(43.0)","11.1
(52.0)","14.8
(58.6)","16.9
(62.4)","16.7
(62.1)","13.1
(55.6)","9.1
(48.4)","4.9
(40.8)","2.1
(35.8)","8.2
(46.8)",[6]
Finland,Helsinki,"−3.9
(25.0)","−4.7
(23.5)","−1.3
(29.7)","3.9
(39.0)","10.2
(50.4)","14.6
(58.3)","17.8
(64.0)","16.3
(61.3)","11.5
(52.7)","6.6
(43.9)","1.6
(34.9)","−2.0
(28.4)","5.9
(42.6)",[7]
Finland,Kuopio,"−9.2
(15.4)","−9.2
(15.4)","−4.1
(24.6)","2.0
(35.6)","9.1
(48.4)","14.5
(58.1)","17.5
(63.5)","15.0
(59.0)","9.7
(49.5)","4.1
(39.4)","−2.0
(28.4)","−6.7
(19.9)","3.4
(38.1)",[7]
Finland,Oulu,"−9.6
(14.7)","−9.3
(15.3)","−4.8
(23.4)","1.4
(34.5)","7.8
(46.0)","13.5
(56.3)","16.5
(61.7)","14.1
(57.4)","8.9
(48.0)","3.3
(37.9)","−2.8
(27.0)","−7.1
(19.2)","2.7
(36.9)",[7]
France,Marseille,"8.4
(47.1)","8.9
(48.0)","11.6
(52.9)","13.8
(56.8)","17.9
(64.2)","21.3
(70.3)","24.5
(76.1)","24.1
(75.4)","20.7
(69.3)","16.9
(62.4)","11.8
(53.2)","9.3
(48.7)","15.8
(60.4)",[8]
France,Paris,"4.9
(40.8)","5.6
(42.1)","8.8
(47.8)","11.4
(52.5)","15.1
(59.2)","18.2
(64.8)","20.4
(68.7)","20.2
(68.4)","16.9
(62.4)","12.9
(55.2)","8.1
(46.6)","5.4
(41.7)","12.3
(54.1)",[9]
Germany,Berlin,"0.6
(33.1)","2.3
(36.1)","5.1
(41.2)","10.2
(50.4)","14.8
(58.6)","17.9
(64.2)","20.3
(68.5)","19.7
(67.5)","15.3
(59.5)","10.5
(50.9)","6.0
(42.8)","1.3
(34.3)","10.3
(50.5)",[10]
Germany,Frankfurt,"1
(34)","2
(36)","6
(43)","8
(46)","13
(55)","16
(61)","18
(64)","18
(64)","15
(59)","10
(50)","5
(41)","2
(36)","10
(50)",[11]
